Employee SSN,EID,Prefix,First,MI,Last,Suffix,DOB,Sex,Marital Status,Country,Address 1,Address 2,City,State,Zip,Home Phone,Mobile Phone,Work Phone,Email,Personal Email,Payroll Frequency,Deduction Frequency,Gross Salary,Location Number,Location,Job Class,Pay Group,Department Number,Department,Title,FTE,Hours Per Week,Hire date,Eligibility Date,Status,Enrollment Status,Termination date,Event date,PIN,Require PIN Change,As Of,Session UserID,Session City,Session State,Hourly Wage,PTO Balance,PTO Cost,Mailing Country,Mailing Address 1,Mailing Address 2,Mailing City,Mailing State,Mailing Zip,Country of Citizenship,Event Code,Event Description,User ID,Birth Country
400-09-6486,1915,Miss,William,S,Cortez,,1964-09-09,M,Divorced,Germany,633 Mark Estate Apt. 275,,Ryanburgh,GA,91571,(447)561-8552,(200)368-2819x598,001-874-176-2305x665,steven78@wilkins-perez.org,roberto87@chavez.biz,Bi-Weekly,Weekly,108615.67,242,Jacobsmouth,"Psychotherapist, dance movement",Bi-Weekly,65,E-enable 24/365 supply-chains,Data Analyst,0.52,40,2019-08-19,2020-02-08,On Leave,Enrolled,,,8300,N,2025-03-28,jeffreythompson,West Margaret,TX,53.14,181.44,122.07,Canada,6291 Ryan Lakes Suite 242,,East Tanyaland,GA,47139,Canada,5777,Implemented asynchronous synergy,jamespearson,USA
738-12-0164,6220,Dr.,Robert,D,Murphy,,1983-04-29,M,Single,USA,892 James Avenue,,Michaelburgh,FL,50818,466-259-3108x161,102.087.4063x1890,098-428-5613x6585,caseyhines@smith.com,smullins@yahoo.com,Bi-Weekly,Bi-Weekly,113297.3,210,Davisland,Heritage manager,Bi-Weekly,71,Benchmark wireless action-items,Data Analyst,0.67,40,2020-04-28,2016-01-18,Active,Enrolled,,,9859,Y,2025-05-22,krystal32,Kochburgh,FL,41.65,159.76,383.92,USA,851 Anderson Isle,,West Heather,NY,47384,India,9055,Re-contextualized zero-defect approach,bryantrobin,Canada
150-68-8196,9730,Dr.,Linda,N,Taylor,,1973-07-19,F,Divorced,Germany,6336 Kelly Extension Apt. 898,,Montoyamouth,FL,82845,001-685-223-4876,+1-302-170-2061x484,015.952.8800x5128,wardtiffany@yahoo.com,susankoch@yahoo.com,Bi-Weekly,Weekly,54281.92,447,North Heatherside,"Programme researcher, broadcasting/film/video",Weekly,39,Streamline frictionless metrics,Business Analyst,0.98,40,2017-03-21,2020-01-03,Inactive,Enrolled,,,5978,N,2025-04-25,davidgardner,East Christopherhaven,NY,65.12,23.08,4061.07,UK,85691 Cooper Course,,Susanstad,FL,2245,Germany,6009,Profound dynamic extranet,spearskara,USA
135-91-2908,3596,Dr.,Joseph,R,Colon,,1968-03-27,M,Divorced,UK,174 Allen Junctions,,Castrostad,FL,64732,(102)950-3781,(502)041-6127x29935,(909)677-0963,mmartin@phillips.com,sandragreene@hotmail.com,Monthly,Bi-Weekly,108426.39,135,Steventown,Glass blower/designer,Bi-Weekly,50,Maximize distributed schemas,Software Engineer,0.63,30,2019-07-13,2017-12-01,Inactive,Enrolled,,,7960,N,2025-05-27,kevinjones,Craigtown,CA,58.46,81.48,2100.08,Germany,0819 Daniel Via Suite 133,,Mitchellbury,TX,37461,India,8739,Seamless user-facing policy,deborah17,Canada
573-68-9567,3040,Dr.,Chelsea,J,Wilcox,,2000-06-03,F,Married,Germany,039 Dawn Cove,,Douglasbury,GA,86415,+1-130-572-9976x856,099.963.1917x859,953-646-5894,smithjessica@yahoo.com,johnbeck@davis.org,Bi-Weekly,Monthly,87078.06,158,South David,Holiday representative,Bi-Weekly,65,E-enable seamless markets,Project Manager,0.66,30,2019-02-21,2024-10-28,Inactive,Pending,,,7178,N,2025-03-07,cassandrasmith,Port Vernon,CA,29.67,58.16,1997.58,USA,829 Nelson Vista,,Jessicafurt,NY,72041,Germany,5144,Customizable zero-defect Graphical User Interface,mcdanieldonna,UK
868-34-4563,9563,Dr.,Jessica,J,Ruiz,,1993-02-01,M,Married,Germany,97547 William Summit Suite 575,,New Melanietown,GA,3399,506.187.8273,(426)627-3226x98949,+1-766-631-7045x787,bergtaylor@garcia.com,slewis@tapia.com,Monthly,Monthly,91620.06,343,New Drew,"Education officer, community",Monthly,27,Streamline intuitive niches,Software Engineer,0.73,40,2018-06-02,2016-01-25,On Leave,Enrolled,,,5702,N,2025-03-22,stevenabbott,Stephenfort,GA,66.56,108.68,2302.85,Germany,9505 Anna Pike,,North Jasonport,FL,6980,Germany,3638,Innovative bottom-line task-force,steven25,UK
865-66-7147,6035,Mrs.,Jennifer,J,Morris,,1973-08-01,F,Single,Canada,9237 Nixon Village,,Cummingsmouth,GA,16617,276-642-1211,526-156-7407x4706,001-658-674-9127x9904,christopher20@barker-medina.com,brenda29@haley.com,Monthly,Weekly,56409.42,313,Kellyton,Early years teacher,Bi-Weekly,32,Reinvent best-of-breed systems,Project Manager,0.96,40,2021-06-08,2023-05-30,Inactive,Enrolled,,,1086,Y,2025-01-21,uhahn,West Valeriefort,NY,31.42,167.71,4699.07,Germany,5735 Goodman Light,,East Jasonside,NY,39326,India,1961,Adaptive background product,cruzdaniel,UK
362-46-4978,2194,Misc.,Bruce,O,Johnson,,1982-04-17,M,Single,Canada,5178 Klein Drive,,Amyberg,NY,75889,655-198-0421x6609,445.938.7429x51750,(965)366-7166,matthew44@hotmail.com,russomichelle@gmail.com,Weekly,Monthly,107168.5,431,Port Jennifer,Tour manager,Weekly,39,Architect revolutionary infrastructures,Business Analyst,0.61,40,2018-05-27,2019-04-27,On Leave,Waived,,,9165,N,2025-04-19,mitchelljesse,West Michael,GA,69.38,196.84,2669.88,India,8505 Williams Junctions Apt. 572,,North Loganfort,NY,39367,Germany,4556,Managed mobile open system,zpeterson,UK
167-18-9222,7987,Mx.,Brenda,N,Reyes,,1993-05-25,M,Divorced,USA,7969 Brown Cove,,Rogersmouth,GA,36950,141.371.5180,+1-300-259-6171x39852,+1-602-606-6377x326,yruiz@yahoo.com,connerelizabeth@smith.com,Bi-Weekly,Weekly,67608.6,160,Nathanton,Government social research officer,Monthly,66,Aggregate distributed web services,Data Analyst,0.51,20,2016-04-21,2018-05-30,On Leave,Pending,,,5180,Y,2025-02-22,brucejenkins,South Michael,GA,78.9,153.99,3072.79,India,89185 Mario Crossing,,Brandyside,FL,15577,Germany,3260,Phased analyzing open system,kingbilly,USA
571-27-5283,9558,Mx.,Elizabeth,R,Jimenez,,1988-09-28,F,Single,Germany,0831 Chelsea Neck,,Lopeztown,TX,15051,698.431.5184,001-707-256-3561x13952,(839)328-6528x618,johnstout@gmail.com,fsmith@yahoo.com,Weekly,Weekly,74810.2,492,New Michaelmouth,"Engineer, communications",Bi-Weekly,34,Implement cross-platform architectures,Business Analyst,0.66,20,2016-10-29,2025-05-13,Active,Enrolled,,,5880,Y,2025-05-09,coopertara,Lisamouth,GA,68.53,58.41,1760.22,Germany,88481 Casey Brooks,,Alanshire,GA,77756,Canada,9441,Fundamental neutral task-force,across,Germany
182-27-3463,3066,Mrs.,Jack,R,Lewis,,2001-08-06,F,Widowed,USA,276 Patrick Locks Apt. 625,,Nicoleton,FL,63579,069-572-6965x111,+1-592-000-2018x01256,(994)475-9700x586,idelgado@sullivan.info,danielsmith@lewis.com,Monthly,Weekly,61319.85,255,Port David,Energy manager,Monthly,30,Enhance mission-critical niches,Data Analyst,0.67,20,2024-03-20,2018-06-12,Active,Waived,,,2163,Y,2025-03-07,ryan77,East Monicaburgh,TX,67.88,194.99,1660.59,Canada,0585 Yang Plains,,Kiddside,TX,96647,India,6588,Innovative context-sensitive archive,krichards,UK
833-29-5560,4511,Dr.,Lindsay,D,Gibbs,,1980-09-29,F,Single,Canada,454 Martinez Parks Suite 577,,South Carrieborough,GA,47598,825-742-4263,110.444.2456x91898,996.701.2489x53359,kennethcastro@shields.com,sbarnett@yahoo.com,Bi-Weekly,Monthly,80639.99,130,New Michelleshire,"Engineer, civil (contracting)",Weekly,39,Whiteboard turn-key eyeballs,Data Analyst,0.78,40,2016-03-28,2022-05-10,Inactive,Pending,,,2949,N,2025-01-13,laura25,Wolfview,GA,37.25,46.99,1488.57,Germany,13827 Tami Center,,Cannonstad,GA,77626,USA,9875,Mandatory stable superstructure,jonessarah,Germany
195-91-6390,6835,Dr.,Summer,K,Morse,,1992-12-16,M,Married,India,58341 Melissa Trail Suite 676,,North Juanton,TX,2422,6255700341,+1-964-935-5044x0004,115.037.4279x962,dwagner@house.com,colelisa@sanchez.biz,Monthly,Monthly,71694.62,259,Glassshire,Radiation protection practitioner,Monthly,76,Productize revolutionary web-readiness,Business Analyst,0.69,20,2020-11-12,2022-03-20,On Leave,Enrolled,,,5242,Y,2025-01-31,michael87,North Brianna,CA,55.61,60.34,3496.12,USA,3791 Smith Common,,Troyside,GA,51305,Germany,5905,Networked uniform task-force,warrengabriel,UK
499-12-6810,9639,Mr.,Sierra,F,Jones,,1997-05-04,M,Divorced,Canada,691 Barbara Locks Apt. 618,,Jeremyville,TX,11243,001-652-388-0334x436,871.141.4688x889,619.762.6622x1192,nicholsrobert@miller-campbell.com,joannastewart@reynolds.org,Monthly,Bi-Weekly,104915.93,197,Alexanderhaven,"Engineer, production",Monthly,10,Transition strategic markets,Software Engineer,0.9,30,2021-05-17,2017-02-14,On Leave,Waived,,,6887,Y,2025-01-07,nmiller,Port Curtisbury,NY,67.67,198.59,4152.33,India,34725 Rubio Row Apt. 092,,Jamesburgh,CA,14571,India,9012,Centralized user-facing challenge,bishopfrancisco,UK
